analyzed_at,date,place,race_no,start_time,horse_count,total_combos,confidence,recommend_count,budget_1000,status,top_combos
2026-06-21 11:47:42 KST,20260621,서울,4,12:05,12,1320,59.4,0,0,구매 보류,
2026-06-21 11:52:32 KST,20260621,서울,1,10:35,12,1320,60.6,18,18000,18장 추천 준비,"안정형-12-5-7, 안정형-12-10-5, 안정형-12-10-7, 안정형-12-5-1, 안정형-12-1-7, 안정형-12-5-2, 고배당형-5-7-6, 고배당형-5-11-6, 고배당형-5-4-6, 고배당형-7-5-6, 고배당형-11-5-6, 고배당형-7-11-6, 변수형-12-5-6, 변수형-12-7-6, 변수형-12-5-4, 변수형-12-7-4, 변수형-5-12-6, 변수형-12-10-6"
